boxofficeType,showRange,showRange_start,showRange_end,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,조회일,days_after_open,상영지속일수
일별 박스오피스,20240316~20240316,2024-03-16,2024-03-16,7,7,-2,OLD,20247782,랜드 오브 배드,2024-03-13,54673073,1,17019598,45.2,171553396,6109,1721,39.2,20466,394,618,2024-03-16,3,14
일별 박스오피스,20240317~20240317,2024-03-17,2024-03-17,6,6,1,OLD,20247782,랜드 오브 배드,2024-03-13,48786326,1.1,-5886747,-10.8,220339722,5349,-760,-12.4,25815,377,587,2024-03-17,4,14
일별 박스오피스,20240318~20240318,2024-03-18,2024-03-18,6,6,0,OLD,20247782,랜드 오브 배드,2024-03-13,17832540,1.4,-30953786,-63.4,238172262,2054,-3295,-61.6,27869,359,552,2024-03-18,5,14
일별 박스오피스,20240319~20240319,2024-03-19,2024-03-19,6,6,0,OLD,20247782,랜드 오브 배드,2024-03-13,23243306,1.9,5410766,30.3,261415568,2729,675,32.9,30598,346,542,2024-03-19,6,14
일별 박스오피스,20240320~20240320,2024-03-20,2024-03-20,8,8,-2,OLD,20247782,랜드 오브 배드,2024-03-13,13850068,0.9,-9393238,-40.4,275265636,1754,-975,-35.7,32352,241,337,2024-03-20,7,14
일별 박스오피스,20240321~20240321,2024-03-21,2024-03-21,6,6,2,OLD,20247782,랜드 오브 배드,2024-03-13,13843812,1.1,-6256,0,289109448,1739,-15,-0.9,34091,236,313,2024-03-21,8,14
일별 박스오피스,20240322~20240322,2024-03-22,2024-03-22,10,10,-4,OLD,20247782,랜드 오브 배드,2024-03-13,15288868,0.8,1445056,10.4,304398316,1781,42,2.4,35872,241,313,2024-03-22,9,14
일별 박스오피스,20240325~20240325,2024-03-25,2024-03-25,7,7,4,OLD,20247782,랜드 오브 배드,2024-03-13,9657407,0.8,-11233273,-53.8,359835073,1101,-1208,-52.3,42066,218,277,2024-03-25,12,14
일별 박스오피스,20240326~20240326,2024-03-26,2024-03-26,9,9,-2,OLD,20247782,랜드 오브 배드,2024-03-13,8495184,0.7,-1162223,-12,368330257,1005,-96,-8.7,43071,228,283,2024-03-26,13,14
일별 박스오피스,20240313~20240313,2024-03-13,2024-03-13,8,8,0,NEW,20247198,마담 웹,2024-03-13,33235521,1.8,33235521,100,35107521,3586,3586,100,3794,648,1055,2024-03-13,0,6
일별 박스오피스,20240318~20240318,2024-03-18,2024-03-18,10,10,3,OLD,20247198,마담 웹,2024-03-13,7551857,0.6,-12884960,-63,125859460,808,-1325,-62.1,13442,321,390,2024-03-18,5,6
일별 박스오피스,20240313~20240313,2024-03-13,2024-03-13,4,4,0,NEW,20247053,메이 디셈버,2024-03-13,67206348,3.6,67206348,100,120978111,7904,7904,100,12879,400,591,2024-03-13,0,7
일별 박스오피스,20240314~20240314,2024-03-14,2024-03-14,8,8,-4,OLD,20247053,메이 디셈버,2024-03-13,25486445,1.5,-41719903,-62.1,146464556,2912,-4992,-63.2,15791,375,540,2024-03-14,1,7
일별 박스오피스,20240315~20240315,2024-03-15,2024-03-15,8,8,0,OLD,20247053,메이 디셈버,2024-03-13,28687927,1.2,3201482,12.6,175152483,3243,331,11.4,19034,364,520,2024-03-15,2,7
일별 박스오피스,20240318~20240318,2024-03-18,2024-03-18,9,9,3,OLD,20247053,메이 디셈버,2024-03-13,10669578,0.9,-13513010,-55.9,234676147,1169,-1199,-50.6,25100,296,381,2024-03-18,5,7
일별 박스오피스,20240319~20240319,2024-03-19,2024-03-19,9,9,0,OLD,20247053,메이 디셈버,2024-03-13,11701703,1,1032125,9.7,246377850,1328,159,13.6,26428,297,383,2024-03-19,6,7
일별 박스오피스,20240313~20240313,2024-03-13,2024-03-13,3,3,0,NEW,20236488,밥 말리: 원 러브,2024-03-13,82549952,4.4,82549952,100,93618952,9496,9496,100,10489,579,1223,2024-03-13,0,8
